id_prod count pourcentage
2151 445 2.051
6824 444 2.047
6158 442 2.037
6583 442 2.037
7019 442 2.037
5139 441 2.033
4693 441 2.033
7207 440 2.028
4243 438 2.019
3124 438 2.019
5775 437 2.014
1715 437 2.014
6765 437 2.014
6160 437 2.014
6374 437 2.014
1771 437 2.014
4241 436 2.01
4219 436 2.01
3300 436 2.01
168 436 2.01
3890 436 2.01
2639 436 2.01
607 434 2.0
6278 434 2.0
2521 434 2.0
7214 434 2.0
948 433 1.996
4124 432 1.991
6126 431 1.987
1029 431 1.987
6373 431 1.987
4117 430 1.982
7012 428 1.973
125 428 1.973
4416 428 1.973
6292 427 1.968
6918 427 1.968
6277 426 1.964
5459 425 1.959
2847 423 1.95
1744 421 1.941
81 420 1.936
1189 420 1.936
4957 419 1.931
3189 419 1.931
6572 418 1.927
981 418 1.927
2033 417 1.922
555 417 1.922
1962 417 1.922
121 416 1.917
1432 415 1.913
4734 415 1.913
609 415 1.913
2195 414 1.908
991 414 1.908
5904 413 1.904
5133 412 1.899
7306 412 1.899
3847 411 1.894
7006 411 1.894
904 411 1.894
2623 411 1.894
499 410 1.89
606 410 1.89
3723 408 1.881
970 407 1.876
7383 407 1.876
711 407 1.876
1404 406 1.871
1609 406 1.871
634 405 1.867
6821 405 1.867
6911 405 1.867
3583 405 1.867
1922 405 1.867
5040 404 1.862
1471 402 1.853
1759 402 1.853
6712 402 1.853
7043 401 1.848
3383 400 1.844
3691 400 1.844
7256 400 1.844
220 400 1.844
2155 400 1.844
1973 399 1.839
1296 399 1.839
622 399 1.839
3243 398 1.835
6138 397 1.83
1087 397 1.83
712 396 1.825
507 396 1.825
2500 395 1.821
912 395 1.821
7126 395 1.821
4366 395 1.821
2503 394 1.816
1177 393 1.811
134 393 1.811
130 392 1.807
3850 392 1.807
7277 391 1.802
6721 391 1.802
5372 391 1.802
5194 391 1.802
240 389 1.793
3416 389 1.793
5753 389 1.793
5686 389 1.793
5674 388 1.788
2828 388 1.788
3814 388 1.788
6710 387 1.784
2095 387 1.784
196 386 1.779
6483 385 1.775
234 385 1.775
7257 385 1.775
1821 384 1.77
5437 383 1.765
7335 383 1.765
7051 383 1.765
2034 383 1.765
5720 382 1.761
5600 381 1.756
2560 381 1.756
1138 381 1.756
1716 381 1.756
1218 381 1.756
2564 380 1.752
4245 380 1.752
5776 379 1.747
6526 379 1.747
6282 378 1.742
7273 378 1.742
3038 378 1.742
3326 378 1.742
520 378 1.742
2367 377 1.738
698 377 1.738
2573 376 1.733
3887 375 1.729
3843 375 1.729
6031 375 1.729
2811 375 1.729
3766 373 1.719
6440 373 1.719
719 371 1.71
1612 371 1.71
1262 371 1.71
501 370 1.705
2433 370 1.705
4151 370 1.705
1888 369 1.701
3876 369 1.701
1660 369 1.701
386 369 1.701
5266 368 1.696
6350 367 1.692
6504 367 1.692
2589 365 1.682
5137 365 1.682
3680 365 1.682
3835 365 1.682
1891 364 1.678
3846 364 1.678
4871 363 1.673
128 363 1.673
973 363 1.673
5777 362 1.669
4691 362 1.669
6017 361 1.664
3800 361 1.664
4275 360 1.659
2038 359 1.655
3374 359 1.655
5699 358 1.65
1154 358 1.65
2681 358 1.65
1521 358 1.65
3774 358 1.65
4523 357 1.646
6210 357 1.646
1588 357 1.646
6931 357 1.646
1819 356 1.641
1541 355 1.636
5706 355 1.636
1297 354 1.632
5786 354 1.632
206 354 1.632
851 354 1.632
6871 353 1.627
7301 353 1.627
122 352 1.622
4713 352 1.622
7236 352 1.622
3818 352 1.622
3250 351 1.618
5444 351 1.618
1586 351 1.618
7015 350 1.613
4679 349 1.609
7327 349 1.609
3900 349 1.609
3172 349 1.609
5754 348 1.604
1589 348 1.604
1199 348 1.604
3711 348 1.604
6251 348 1.604
6689 348 1.604
5764 348 1.604
1894 347 1.599
1683 347 1.599
3141 347 1.599
1904 347 1.599
3958 347 1.599
3080 347 1.599
6118 346 1.595
7147 345 1.59
3823 345 1.59
737 344 1.586
253 344 1.586
5547 344 1.586
5246 343 1.581
3725 343 1.581
1954 343 1.581
1238 342 1.576
1874 341 1.572
5787 341 1.572
539 341 1.572
500 341 1.572
3776 340 1.567
2055 340 1.567
920 340 1.567
4342 339 1.563
5649 339 1.563
5130 339 1.563
3398 339 1.563
3807 338 1.558
3873 338 1.558
236 338 1.558
3392 338 1.558
840 338 1.558
823 338 1.558
6351 337 1.553
1957 337 1.553
1706 337 1.553
4732 337 1.553
5604 336 1.549
1182 336 1.549
4810 336 1.549
5047 336 1.549
1057 335 1.544
3081 335 1.544
7329 334 1.54
6870 334 1.54
2015 333 1.535
3251 333 1.535
2785 333 1.535
4270 333 1.535
2040 333 1.535
5162 332 1.53
7008 332 1.53
5478 332 1.53
3313 332 1.53
4986 332 1.53
1774 332 1.53
1396 332 1.53
6447 331 1.526
4490 331 1.526
5250 331 1.526
3836 331 1.526
5232 330 1.521
3874 330 1.521
5251 330 1.521
5528 329 1.516
1897 329 1.516
6015 329 1.516
1693 328 1.512
815 328 1.512
6162 328 1.512
4482 328 1.512
7246 327 1.507
4848 327 1.507
6570 327 1.507
2444 326 1.503
175 326 1.503
3775 325 1.498
757 324 1.493
210 323 1.489
4867 323 1.489
5613 323 1.489
6224 323 1.489
4428 322 1.484
4118 322 1.484
1504 321 1.48
1965 320 1.475
95 320 1.475
2983 320 1.475
5039 320 1.475
1747 319 1.47
3492 319 1.47
5480 318 1.466
5228 318 1.466
152 317 1.461
6164 317 1.461
5780 316 1.457
6523 316 1.457
3254 316 1.457
6764 316 1.457
5750 315 1.452
2027 315 1.452
2067 315 1.452
1721 315 1.452
226 315 1.452
2530 315 1.452
764 314 1.447
224 314 1.447
949 314 1.447
5802 314 1.447
2043 314 1.447
6690 313 1.443
2351 313 1.443
3552 313 1.443
1360 313 1.443
5203 312 1.438
1757 312 1.438
202 311 1.434
7061 311 1.434
6715 311 1.434
1670 311 1.434
4559 311 1.434
3790 311 1.434
2431 310 1.429
2969 310 1.429
4404 310 1.429
1873 310 1.429
6657 309 1.424
4686 309 1.424
1048 309 1.424
1100 309 1.424
217 309 1.424
3936 309 1.424
4660 308 1.42
6209 308 1.42
1306 308 1.42
669 308 1.42
3956 308 1.42
2843 307 1.415
2057 307 1.415
7009 307 1.415
370 307 1.415
3551 306 1.41
2931 306 1.41
6512 306 1.41
5721 306 1.41
1494 305 1.406
1595 305 1.406
4862 304 1.401
6767 304 1.401
7223 304 1.401
1337 303 1.397
1988 303 1.397
4698 302 1.392
1762 302 1.392
867 302 1.392
2310 302 1.392
1097 302 1.392
6705 302 1.392
1393 302 1.392
1587 301 1.387
5732 301 1.387
6288 301 1.387
1974 301 1.387
5645 300 1.383
6233 300 1.383
4336 300 1.383
1197 299 1.378
678 299 1.378
6234 298 1.374
4889 298 1.374
653 298 1.374
1953 298 1.374
3833 297 1.369
258 297 1.369
1748 296 1.364
5264 296 1.364
1775 296 1.364
5688 296 1.364
633 296 1.364
7076 296 1.364
4721 296 1.364
1261 296 1.364
703 296 1.364
195 295 1.36
4695 295 1.36
3812 295 1.36
387 295 1.36
2149 294 1.355
5700 293 1.351
6283 293 1.351
824 293 1.351
6638 293 1.351
1416 293 1.351
1749 292 1.346
6908 292 1.346
7127 292 1.346
6147 292 1.346
7336 292 1.346
587 292 1.346
845 291 1.341
3761 291 1.341
2574 290 1.337
5035 290 1.337
5125 290 1.337
4115 290 1.337
5270 290 1.337
702 289 1.332
2008 289 1.332
5847 289 1.332
1469 289 1.332
1263 289 1.332
7002 288 1.327
28 288 1.327
1407 288 1.327
4420 287 1.323
7298 287 1.323
2418 287 1.323
1476 287 1.323
5046 287 1.323
3498 286 1.318
96 286 1.318
6925 286 1.318
1387 285 1.314
6910 284 1.309
544 284 1.309
2134 284 1.309
172 284 1.309
818 283 1.304
6372 283 1.304
1917 283 1.304
4830 283 1.304
5853 283 1.304
2048 282 1.3
251 282 1.3
3368 282 1.3
630 282 1.3
5158 282 1.3
3792 282 1.3
6135 281 1.295
3849 281 1.295
2035 281 1.295
6450 281 1.295
218 281 1.295
1805 280 1.291
2303 280 1.291
2953 280 1.291
1678 280 1.291
6953 279 1.286
2307 279 1.286
5862 279 1.286
2021 278 1.281
1380 278 1.281
5389 278 1.281
2199 278 1.281
747 277 1.277
760 277 1.277
373 277 1.277
5738 277 1.277
6532 276 1.272
5651 276 1.272
1618 276 1.272
4280 275 1.268
4246 275 1.268
250 275 1.268
6825 275 1.268
3743 275 1.268
2419 275 1.268
6700 275 1.268
1952 274 1.263
5709 274 1.263
2117 274 1.263
2014 274 1.263
4127 274 1.263
5865 274 1.263
5898 274 1.263
198 273 1.258
1040 273 1.258
4715 273 1.258
5899 273 1.258
5054 273 1.258
5897 273 1.258
6010 272 1.254
6014 272 1.254
5642 272 1.254
5675 272 1.254
3335 272 1.254
1985 272 1.254
5288 272 1.254
6919 272 1.254
5733 271 1.249
4917 271 1.249
1750 270 1.245
6686 270 1.245
4424 270 1.245
6439 270 1.245
6428 270 1.245
4468 269 1.24
3423 269 1.24
621 269 1.24
6742 269 1.24
3490 269 1.24
3497 269 1.24
3304 269 1.24
6033 269 1.24
3015 268 1.235
494 268 1.235
5267 268 1.235
1959 267 1.231
2778 267 1.231
2932 267 1.231
6915 267 1.231
3327 266 1.226
2047 266 1.226
1679 266 1.226
158 266 1.226
5844 266 1.226
5905 266 1.226
3777 265 1.221
6948 265 1.221
1467 265 1.221
884 265 1.221
381 265 1.221
6568 264 1.217
4236 264 1.217
2030 264 1.217
3511 264 1.217
4193 263 1.212
6544 263 1.212
2420 263 1.212
3756 263 1.212
3545 263 1.212
632 262 1.208
2024 262 1.208
3162 262 1.208
5367 262 1.208
6427 262 1.208
201 262 1.208
6766 261 1.203
3524 260 1.198
1231 260 1.198
4817 260 1.198
2060 259 1.194
6238 259 1.194
2421 259 1.194
6368 259 1.194
3709 259 1.194
7119 258 1.189
2882 258 1.189
2891 258 1.189
1557 258 1.189
5358 258 1.189
3801 258 1.189
6873 257 1.185
1313 257 1.185
668 257 1.185
2314 257 1.185
3805 257 1.185
6337 256 1.18
2480 256 1.18
3340 256 1.18
5884 256 1.18
5664 256 1.18
3557 256 1.18
6094 255 1.175
4770 255 1.175
4224 255 1.175
4274 255 1.175
4634 255 1.175
998 255 1.175
522 255 1.175
616 255 1.175
1603 254 1.171
3558 254 1.171
6837 254 1.171
4553 254 1.171
4250 254 1.171
902 254 1.171
1028 253 1.166
7311 253 1.166
6155 253 1.166
2445 253 1.166
1422 253 1.166
185 253 1.166
4005 253 1.166
4465 253 1.166
4496 252 1.162
5008 252 1.162
6273 252 1.162
5660 252 1.162
6724 252 1.162
922 252 1.162
360 252 1.162
3539 251 1.157
2441 251 1.157
2889 251 1.157
4638 251 1.157
2197 251 1.157
5335 250 1.152
4152 250 1.152
2026 250 1.152
1076 250 1.152
5697 250 1.152
4855 250 1.152
4565 250 1.152
1852 250 1.152
3992 250 1.152
4858 249 1.148
3047 249 1.148
4369 249 1.148
1518 249 1.148
166 249 1.148
1606 248 1.143
3517 248 1.143
2982 248 1.143
1824 248 1.143
1756 247 1.139
2037 247 1.139
3386 247 1.139
5749 246 1.134
5167 246 1.134
4818 246 1.134
1433 246 1.134
364 246 1.134
2065 245 1.129
3108 245 1.129
143 245 1.129
4356 245 1.129
2184 245 1.129
5523 245 1.129
2143 245 1.129
582 245 1.129
4680 245 1.129
6120 244 1.125
4549 244 1.125
2157 244 1.125
4775 243 1.12
1923 243 1.12
6755 243 1.12
750 242 1.115
5114 242 1.115
5132 242 1.115
5818 242 1.115
6957 241 1.111
4367 241 1.111
142 241 1.111
3110 241 1.111
3380 241 1.111
1532 241 1.111
554 240 1.106
6514 240 1.106
84 240 1.106
3870 240 1.106
3571 240 1.106
7219 240 1.106
7352 240 1.106
1949 240 1.106
1043 240 1.106
6609 240 1.106
6929 240 1.106
5526 239 1.102
3600 239 1.102
5043 239 1.102
3194 238 1.097
59 238 1.097
4784 238 1.097
7242 238 1.097
2793 238 1.097
3951 238 1.097
174 238 1.097
3016 237 1.092
3764 237 1.092
4488 237 1.092
6606 237 1.092
1611 237 1.092
2405 236 1.088
1495 236 1.088
4700 236 1.088
1655 236 1.088
5626 236 1.088
5082 236 1.088
1786 235 1.083
94 235 1.083
7117 235 1.083
219 235 1.083
6757 235 1.083
6601 235 1.083
5481 234 1.079
6127 234 1.079
3767 234 1.079
238 234 1.079
1209 234 1.079
2198 234 1.079
1719 234 1.079
4418 233 1.074
3287 233 1.074
1604 233 1.074
4570 233 1.074
6328 233 1.074
3281 233 1.074
3508 232 1.069
5849 232 1.069
6520 231 1.065
2062 231 1.065
4987 231 1.065
6009 231 1.065
3637 231 1.065
1689 231 1.065
1259 231 1.065
137 230 1.06
7243 230 1.06
3506 230 1.06
1321 230 1.06
4377 229 1.056
6121 229 1.056
4357 229 1.056
5091 229 1.056
3841 229 1.056
3906 229 1.056
3527 229 1.056
5768 228 1.051
3899 228 1.051
1622 228 1.051
5646 228 1.051
6408 228 1.051
2816 228 1.051
3839 227 1.046
3260 227 1.046
853 227 1.046
2916 227 1.046
1020 227 1.046
4661 227 1.046
888 226 1.042
3346 226 1.042
5090 225 1.037
1435 225 1.037
701 224 1.032
3548 224 1.032
5472 224 1.032
351 224 1.032
1171 224 1.032
686 223 1.028
221 223 1.028
6286 223 1.028
4317 223 1.028
129 223 1.028
3442 223 1.028
178 222 1.023
565 222 1.023
1680 222 1.023
3029 222 1.023
2917 222 1.023
346 222 1.023
2810 222 1.023
617 222 1.023
5155 222 1.023
559 221 1.019
546 221 1.019
4625 221 1.019
6581 220 1.014
5189 220 1.014
598 220 1.014
1340 220 1.014
3896 219 1.009
25 219 1.009
2896 219 1.009
79 219 1.009
1948 219 1.009
5383 219 1.009
5268 219 1.009
3164 218 1.005
2745 218 1.005
666 218 1.005
2185 218 1.005
2965 217 1.0
1780 217 1.0
4683 217 1.0
6032 217 1.0
3111 217 1.0
1510 217 1.0
7034 217 1.0
1671 216 0.996
2182 216 0.996
6377 216 0.996
2158 216 0.996
6064 216 0.996
2901 215 0.991
623 215 0.991
4443 215 0.991
1772 215 0.991
2044 215 0.991
5879 215 0.991
3371 215 0.991
6560 214 0.986
7086 214 0.986
1672 214 0.986
4276 214 0.986
613 214 0.986
311 214 0.986
7075 214 0.986
3854 214 0.986
7032 214 0.986
4493 214 0.986
2740 213 0.982
3344 213 0.982
6970 213 0.982
4494 213 0.982
7218 212 0.977
6954 212 0.977
4003 212 0.977
2171 212 0.977
2042 211 0.973
3891 211 0.973
5519 211 0.973
2913 211 0.973
919 211 0.973
3005 211 0.973
5058 211 0.973
5722 210 0.968
1134 210 0.968
800 210 0.968
7217 210 0.968
7059 210 0.968
7135 210 0.968
5265 210 0.968
5903 210 0.968
92 210 0.968
1941 210 0.968
5188 209 0.963
4717 209 0.963
1106 209 0.963
7206 209 0.963
856 209 0.963
2020 208 0.959
5128 208 0.959
4940 208 0.959
3603 208 0.959
1899 208 0.959
6924 208 0.959
1608 208 0.959
4178 207 0.954
1298 207 0.954
3428 207 0.954
6341 207 0.954
2644 207 0.954
6242 206 0.95
5681 206 0.95
1728 206 0.95
5672 205 0.945
5517 205 0.945
1477 205 0.945
2125 205 0.945
5490 205 0.945
586 205 0.945
1879 205 0.945
5165 204 0.94
5129 204 0.94
6338 204 0.94
1681 204 0.94
5734 204 0.94
2156 204 0.94
1624 204 0.94
1626 203 0.936
5088 203 0.936
6607 203 0.936
5603 203 0.936
2142 203 0.936
2506 202 0.931
7264 202 0.931
3501 202 0.931
6151 202 0.931
6878 202 0.931
1200 202 0.931
68 202 0.931
3974 202 0.931
996 201 0.926
6268 201 0.926
5770 201 0.926
3157 201 0.926
181 201 0.926
58 201 0.926
612 201 0.926
1731 201 0.926
5518 200 0.922
123 200 0.922
6857 200 0.922
1754 200 0.922
615 200 0.922
4248 200 0.922
3721 200 0.922
3837 200 0.922
5874 200 0.922
1732 200 0.922
6579 199 0.917
7005 199 0.917
3196 199 0.917
2676 199 0.917
1423 199 0.917
5737 199 0.917
1903 199 0.917
3960 199 0.917
803 199 0.917
2462 198 0.913
7122 198 0.913
7120 198 0.913
3275 198 0.913
2526 198 0.913
7042 198 0.913
4376 198 0.913
4513 198 0.913
6642 198 0.913
2826 198 0.913
3086 198 0.913
722 197 0.908
6298 197 0.908
7359 197 0.908
2883 197 0.908
3860 197 0.908
2690 197 0.908
2174 197 0.908
5855 197 0.908
3493 197 0.908
3542 196 0.903
4951 196 0.903
3834 196 0.903
1378 196 0.903
5707 196 0.903
3593 196 0.903
1482 196 0.903
3126 195 0.899
4703 195 0.899
3773 195 0.899
6325 195 0.899
1419 195 0.899
3163 195 0.899
804 195 0.899
3742 195 0.899
6143 195 0.899
5276 195 0.899
5227 194 0.894
1570 194 0.894
6674 194 0.894
6906 194 0.894
6327 194 0.894
5704 194 0.894
3786 194 0.894
2449 193 0.89
5460 193 0.89
200 193 0.89
2758 193 0.89
6019 193 0.89
799 193 0.89
88 193 0.89
1158 193 0.89
5717 193 0.89
745 192 0.885
2624 192 0.885
1328 192 0.885
4125 192 0.885
5166 192 0.885
819 192 0.885
4227 192 0.885
3758 192 0.885
176 192 0.885
1175 191 0.88
2850 191 0.88
1223 191 0.88
3832 191 0.88
4662 191 0.88
5487 191 0.88
2706 191 0.88
1932 191 0.88
3616 190 0.876
228 190 0.876
7347 190 0.876
782 190 0.876
1975 190 0.876
106 190 0.876
363 190 0.876
5406 190 0.876
3526 190 0.876
7282 190 0.876
6287 189 0.871
6225 189 0.871
5579 189 0.871
2679 189 0.871
2454 189 0.871
2743 189 0.871
6597 189 0.871
2892 188 0.867
3510 188 0.867
117 188 0.867
4412 188 0.867
2846 188 0.867
5857 188 0.867
4304 188 0.867
5373 187 0.862
752 187 0.862
101 187 0.862
2455 187 0.862
5292 187 0.862
4914 187 0.862
3121 186 0.857
6336 186 0.857
603 186 0.857
6719 186 0.857
5494 186 0.857
6291 186 0.857
5692 186 0.857
3135 186 0.857
1597 185 0.853
2459 185 0.853
6183 185 0.853
3946 185 0.853
5607 184 0.848
6576 184 0.848
2009 184 0.848
6073 184 0.848
1341 184 0.848
5464 184 0.848
3209 184 0.848
1434 184 0.848
6763 183 0.844
1359 183 0.844
6653 183 0.844
2379 183 0.844
639 183 0.844
6243 183 0.844
2866 183 0.844
3976 183 0.844
4509 182 0.839
2463 182 0.839
5549 182 0.839
4863 182 0.839
2146 182 0.839
3417 181 0.834
140 181 0.834
2016 181 0.834
1758 181 0.834
4569 181 0.834
5501 181 0.834
2650 180 0.83
911 180 0.83
7089 180 0.83
1227 180 0.83
6591 180 0.83
157 180 0.83
4769 180 0.83
4801 180 0.83
4006 180 0.83
767 180 0.83
4182 180 0.83
5097 180 0.83
592 179 0.825
1355 179 0.825
126 179 0.825
3848 179 0.825
3995 179 0.825
3804 179 0.825
6404 178 0.82
3624 178 0.82
5769 178 0.82
2440 178 0.82
7063 178 0.82
1099 178 0.82
3797 178 0.82
7085 178 0.82
5901 178 0.82
3789 178 0.82
3390 178 0.82
2447 177 0.816
225 177 0.816
6274 177 0.816
2534 177 0.816
4614 177 0.816
2399 177 0.816
2952 177 0.816
1995 177 0.816
910 177 0.816
5852 177 0.816
2145 177 0.816
1389 177 0.816
6200 176 0.811
4310 176 0.811
3664 176 0.811
6577 176 0.811
2648 176 0.811
889 176 0.811
1865 176 0.811
3421 176 0.811
2825 176 0.811
337 176 0.811
3118 175 0.807
1989 175 0.807
5118 175 0.807
4707 175 0.807
3006 175 0.807
5466 175 0.807
136 175 0.807
6324 175 0.807
5552 174 0.802
1742 174 0.802
4731 174 0.802
6407 174 0.802
1594 174 0.802
4302 174 0.802
1976 174 0.802
4338 174 0.802
4512 174 0.802
4464 174 0.802
5641 173 0.797
3025 173 0.797
6952 173 0.797
4277 173 0.797
2619 173 0.797
3541 173 0.797
2424 173 0.797
87 173 0.797
353 173 0.797
37 172 0.793
3861 172 0.793
1426 172 0.793
4121 172 0.793
192 172 0.793
5756 172 0.793
6561 172 0.793
3667 171 0.788
310 171 0.788
2732 171 0.788
4483 171 0.788
5566 171 0.788
339 171 0.788
5881 171 0.788
4948 171 0.788
7020 171 0.788
1051 170 0.784
5259 170 0.784
4840 170 0.784
907 170 0.784
4972 170 0.784
6122 170 0.784
6720 170 0.784
4988 170 0.784
2948 170 0.784
